entity_id,entity_type,n_obs,morph_repl_corr,tx_repl_corr
CMPD_0481,compound,12,0.4935900866985321,0.46701014041900635
CMPD_0205,compound,12,0.46089911460876465,0.42705297470092773
CMPD_0355,compound,12,0.4602152109146118,0.442992240190506
CMPD_0540,compound,12,0.45605841279029846,0.4203166961669922
CMPD_0064,compound,12,0.4549708068370819,0.4169555604457855
CMPD_0454,compound,12,0.4536276161670685,0.41720929741859436
CMPD_0041,compound,12,0.4529332220554352,0.42941799759864807
CMPD_0223,compound,12,0.45185574889183044,0.4295285642147064
CMPD_0176,compound,12,0.45128539204597473,0.4461342990398407
CMPD_0153,compound,12,0.4503112733364105,0.41739633679389954
CMPD_0067,compound,12,0.44811952114105225,0.4248177707195282
CMPD_0195,compound,12,0.4479919373989105,0.4320485591888428
CMPD_0271,compound,12,0.4461831748485565,0.4036450684070587
CMPD_0150,compound,12,0.44281187653541565,0.3730067014694214
CMPD_0045,compound,12,0.4386153519153595,0.38629603385925293
CMPD_0340,compound,12,0.4364839792251587,0.4068624675273895
CMPD_0119,compound,12,0.43560102581977844,0.4201488196849823
CMPD_0226,compound,12,0.4355796277523041,0.419619083404541
CMPD_0546,compound,12,0.4351409375667572,0.41234728693962097
CMPD_0017,compound,12,0.43432822823524475,0.399852991104126
CMPD_0059,compound,12,0.43407878279685974,0.43251606822013855
CMPD_0297,compound,12,0.43407711386680603,0.4158935248851776
CMPD_0509,compound,12,0.43386128544807434,0.4082857072353363
CMPD_0349,compound,12,0.4337965250015259,0.42149996757507324
CMPD_0097,compound,12,0.43273425102233887,0.42562881112098694
CMPD_0566,compound,12,0.4325512945652008,0.43175485730171204
CMPD_0248,compound,12,0.43119728565216064,0.4121486246585846
CMPD_0406,compound,12,0.43107274174690247,0.4165480136871338
CMPD_0557,compound,12,0.43071600794792175,0.3963671028614044
CMPD_0575,compound,12,0.43042227625846863,0.4134432375431061
CMPD_0111,compound,12,0.430363267660141,0.4249509871006012
CMPD_0219,compound,12,0.43009817600250244,0.40041983127593994
CMPD_0370,compound,12,0.4295251667499542,0.3892006576061249
CMPD_0342,compound,12,0.42915669083595276,0.4139764606952667
CMPD_0547,compound,12,0.4291304349899292,0.4060814380645752
CMPD_0416,compound,12,0.428857684135437,0.39707663655281067
CMPD_0245,compound,12,0.4286746084690094,0.4069843590259552
CMPD_0375,compound,12,0.42777466773986816,0.4000055491924286
CMPD_0007,compound,12,0.42739519476890564,0.38812682032585144
CMPD_0466,compound,12,0.4271124601364136,0.41742900013923645
CMPD_0031,compound,12,0.42682600021362305,0.38128790259361267
CMPD_0286,compound,12,0.4261953830718994,0.39574289321899414
CMPD_0527,compound,12,0.4261913001537323,0.3945063054561615
CMPD_0287,compound,12,0.4260331392288208,0.43974629044532776
CMPD_0337,compound,12,0.4260062277317047,0.41292187571525574
CMPD_0029,compound,12,0.4252401292324066,0.37893834710121155
CMPD_0113,compound,12,0.4251840114593506,0.4448918104171753
CMPD_0351,compound,12,0.42478933930397034,0.419871062040329
CMPD_0393,compound,12,0.42465901374816895,0.39068469405174255
CMPD_0569,compound,12,0.42463597655296326,0.35073742270469666
CMPD_0525,compound,12,0.4245195686817169,0.37851861119270325
CMPD_0326,compound,12,0.42405930161476135,0.3865979015827179
CMPD_0065,compound,12,0.42398640513420105,0.38801297545433044
CMPD_0497,compound,12,0.42396947741508484,0.39747074246406555
CMPD_0102,compound,12,0.42380204796791077,0.3889766037464142
CMPD_0006,compound,12,0.42354631423950195,0.38666319847106934
CMPD_0109,compound,12,0.42325928807258606,0.38344982266426086
CMPD_0247,compound,12,0.42241549491882324,0.3958602249622345
CMPD_0562,compound,12,0.4221535623073578,0.41410771012306213
CMPD_0246,compound,12,0.4220335781574249,0.3739303648471832
CMPD_0258,compound,12,0.42197808623313904,0.3894364833831787
CMPD_0568,compound,12,0.4213111698627472,0.388834148645401
CMPD_0156,compound,12,0.4212782382965088,0.39993903040885925
CMPD_0392,compound,12,0.4211747944355011,0.3932405412197113
CMPD_0281,compound,12,0.4210685193538666,0.3930954933166504
CMPD_0313,compound,12,0.42102494835853577,0.4060405492782593
CMPD_0363,compound,12,0.420627623796463,0.38860630989074707
CMPD_0196,compound,12,0.41932669281959534,0.3922744691371918
CMPD_0503,compound,12,0.4192218780517578,0.4197618067264557
CMPD_0210,compound,12,0.4191396236419678,0.3924989402294159
CMPD_0446,compound,12,0.4189569652080536,0.4238462448120117
CMPD_0294,compound,12,0.41890522837638855,0.3772999346256256
CMPD_0189,compound,12,0.4188138544559479,0.4006635248661041
CMPD_0228,compound,12,0.4185112714767456,0.36416351795196533
CMPD_0187,compound,12,0.41822290420532227,0.4100169837474823
CMPD_0521,compound,12,0.41809141635894775,0.4125116765499115
CMPD_0371,compound,12,0.41776010394096375,0.40963664650917053
CMPD_0008,compound,12,0.417665034532547,0.40739884972572327
CMPD_0318,compound,12,0.4172631800174713,0.3893357515335083
CMPD_0399,compound,12,0.417104035615921,0.3820759952068329
CMPD_0099,compound,12,0.41709136962890625,0.40548717975616455
CMPD_0594,compound,12,0.41698479652404785,0.38514745235443115
CMPD_0057,compound,12,0.4168348014354706,0.37749481201171875
CMPD_0447,compound,12,0.4168316423892975,0.39329993724823
CMPD_0417,compound,12,0.41677606105804443,0.4254101514816284
CMPD_0361,compound,12,0.416541188955307,0.39756283164024353
CMPD_0559,compound,12,0.41648221015930176,0.38867151737213135
CMPD_0293,compound,12,0.4164007008075714,0.3825770616531372
CMPD_0124,compound,12,0.41616395115852356,0.38474583625793457
CMPD_0191,compound,12,0.41594424843788147,0.3997333347797394
CMPD_0197,compound,12,0.4159059524536133,0.4097389280796051
CMPD_0178,compound,12,0.4155541658401489,0.40104344487190247
CMPD_0405,compound,12,0.41548001766204834,0.37392309308052063
CMPD_0343,compound,12,0.41538646817207336,0.366321325302124
CMPD_0515,compound,12,0.4152364432811737,0.43310120701789856
CMPD_0596,compound,12,0.4152064323425293,0.4036473333835602
CMPD_0144,compound,12,0.4151001274585724,0.42408454418182373
CMPD_0137,compound,12,0.4150180518627167,0.37936368584632874
CMPD_0073,compound,12,0.41438063979148865,0.41060683131217957
CMPD_0599,compound,12,0.4143352210521698,0.3784486949443817
CMPD_0200,compound,12,0.41415688395500183,0.3886997401714325
CMPD_0592,compound,12,0.41414889693260193,0.4174448549747467
CMPD_0213,compound,12,0.41405144333839417,0.4109123945236206
CMPD_0218,compound,12,0.4140162169933319,0.3949302136898041
CMPD_0499,compound,12,0.41382279992103577,0.3550039827823639
CMPD_0030,compound,12,0.4137171804904938,0.374373197555542
CMPD_0024,compound,12,0.4136880934238434,0.38479721546173096
CMPD_0042,compound,12,0.41368556022644043,0.401349812746048
CMPD_0232,compound,12,0.41356411576271057,0.4137973487377167
CMPD_0421,compound,12,0.4135613441467285,0.41816532611846924
CMPD_0043,compound,12,0.41322746872901917,0.3924393951892853
CMPD_0022,compound,12,0.41313907504081726,0.37400099635124207
CMPD_0289,compound,12,0.41305291652679443,0.3947871923446655
CMPD_0372,compound,12,0.41301438212394714,0.37929821014404297
CMPD_0565,compound,12,0.41258394718170166,0.385153204202652
CMPD_0469,compound,12,0.41258034110069275,0.3911353051662445
CMPD_0425,compound,12,0.4125584661960602,0.3778361976146698
CMPD_0464,compound,12,0.41246065497398376,0.38836315274238586
CMPD_0332,compound,12,0.41240108013153076,0.37022265791893005
CMPD_0307,compound,12,0.41237974166870117,0.404611736536026
CMPD_0458,compound,12,0.412305623292923,0.38340139389038086
CMPD_0138,compound,12,0.4122963845729828,0.38662266731262207
CMPD_0162,compound,12,0.41227105259895325,0.37419334053993225
CMPD_0324,compound,12,0.4117530286312103,0.3788306415081024
CMPD_0242,compound,12,0.41168978810310364,0.3630487620830536
CMPD_0581,compound,12,0.41159096360206604,0.37334832549095154
CMPD_0494,compound,12,0.4113740921020508,0.39570268988609314
CMPD_0072,compound,12,0.4112997055053711,0.38252243399620056
CMPD_0276,compound,12,0.41118332743644714,0.40823569893836975
CMPD_0114,compound,12,0.41107162833213806,0.3965951204299927
CMPD_0241,compound,12,0.41104015707969666,0.3885223865509033
CMPD_0279,compound,12,0.4106435477733612,0.3763851225376129
CMPD_0243,compound,12,0.410624623298645,0.3918619453907013
CMPD_0391,compound,12,0.4103614389896393,0.4044092893600464
CMPD_0221,compound,12,0.4101352393627167,0.4054931104183197
CMPD_0539,compound,12,0.4100610017776489,0.3819299638271332
CMPD_0013,compound,12,0.40995916724205017,0.4198673963546753
